open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,4.0,800.0,100.0,1.0,0.6,9,6,0.384,1.1663,15.49,424.52,15
6.0,4.0,800.0,250.0,1.0,0.6,9,6,0.384,1.1663,15.49,424.52,15
6.0,4.0,800.0,400.0,1.0,0.6,9,6,0.384,1.1663,15.49,424.52,15
6.0,2.0,150.0,400.0,1.0,0.5333,8,7,0.4707,0.9117,59.29,1074.63,15
6.0,2.0,300.0,400.0,1.0,0.5333,8,7,0.4707,0.9117,59.29,1074.63,15
6.0,2.0,500.0,100.0,1.0,0.5333,8,7,0.4933,1.053,15.49,1041.3,15
6.0,2.0,500.0,250.0,1.0,0.5333,8,7,0.4933,1.053,15.49,1041.3,15
6.0,2.0,500.0,400.0,1.0,0.5333,8,7,0.4933,1.053,15.49,1041.3,15
6.0,4.0,500.0,100.0,1.0,0.5333,8,7,0.5453,0.9463,59.29,1267.97,15
6.0,4.0,500.0,250.0,1.0,0.5333,8,7,0.5453,0.9463,59.29,1267.97,15
6.0,4.0,500.0,400.0,1.0,0.5333,8,7,0.5453,0.9463,59.29,1267.97,15
8.0,6.0,800.0,100.0,0.5,0.5333,8,7,0.5823,1.1326,16.82,534.79,15
8.0,6.0,800.0,250.0,0.5,0.5333,8,7,0.5823,1.1326,16.82,534.79,15
8.0,6.0,800.0,400.0,0.5,0.5333,8,7,0.5823,1.1326,16.82,534.79,15
6.0,4.0,150.0,400.0,1.0,0.5333,8,7,0.5835,0.8618,114.85,1429.3,15
6.0,4.0,300.0,400.0,1.0,0.5333,8,7,0.5835,0.8618,114.85,1429.3,15
8.0,6.0,800.0,100.0,0.3,0.5333,8,7,0.5839,1.0463,18.49,534.79,15
8.0,6.0,800.0,250.0,0.3,0.5333,8,7,0.5839,1.0463,18.49,534.79,15
8.0,6.0,800.0,400.0,0.3,0.5333,8,7,0.5839,1.0463,18.49,534.79,15
6.0,2.0,800.0,100.0,0.3,0.4667,7,8,0.3603,1.6133,10.49,349.85,15
6.0,2.0,800.0,250.0,0.3,0.4667,7,8,0.3603,1.6133,10.49,349.85,15
6.0,2.0,800.0,400.0,0.3,0.4667,7,8,0.3603,1.6133,10.49,349.85,15
6.0,2.0,800.0,100.0,0.5,0.4667,7,8,0.3613,1.477,11.49,349.85,15
6.0,2.0,800.0,250.0,0.5,0.4667,7,8,0.3613,1.477,11.49,349.85,15
6.0,2.0,800.0,400.0,0.5,0.4667,7,8,0.3613,1.477,11.49,349.85,15
6.0,2.0,800.0,100.0,1.0,0.4667,7,8,0.3653,1.3477,15.49,349.85,15
6.0,2.0,800.0,250.0,1.0,0.4667,7,8,0.3653,1.3477,15.49,349.85,15
6.0,2.0,800.0,400.0,1.0,0.4667,7,8,0.3653,1.3477,15.49,349.85,15
6.0,4.0,800.0,100.0,0.3,0.4667,7,8,0.379,1.5827,10.49,424.52,15
6.0,4.0,800.0,250.0,0.3,0.4667,7,8,0.379,1.5827,10.49,424.52,15
6.0,4.0,800.0,400.0,0.3,0.4667,7,8,0.379,1.5827,10.49,424.52,15
6.0,4.0,800.0,100.0,0.5,0.4667,7,8,0.38,1.3797,11.49,424.52,15
6.0,4.0,800.0,250.0,0.5,0.4667,7,8,0.38,1.3797,11.49,424.52,15
6.0,4.0,800.0,400.0,0.5,0.4667,7,8,0.38,1.3797,11.49,424.52,15
8.0,4.0,800.0,100.0,1.0,0.4667,7,8,0.3909,0.9413,21.09,424.52,15
8.0,4.0,800.0,250.0,1.0,0.4667,7,8,0.3909,0.9413,21.09,424.52,15
8.0,4.0,800.0,400.0,1.0,0.4667,7,8,0.3909,0.9413,21.09,424.52,15
6.0,2.0,800.0,100.0,0.1,0.4667,7,8,0.4055,1.6985,55.62,349.85,15
6.0,2.0,800.0,250.0,0.1,0.4667,7,8,0.4055,1.6985,55.62,349.85,15
6.0,2.0,800.0,400.0,0.1,0.4667,7,8,0.4055,1.6985,55.62,349.85,15
6.0,4.0,800.0,100.0,0.1,0.4667,7,8,0.4201,1.5531,55.62,424.52,15
6.0,4.0,800.0,250.0,0.1,0.4667,7,8,0.4201,1.5531,55.62,424.52,15
6.0,4.0,800.0,400.0,0.1,0.4667,7,8,0.4201,1.5531,55.62,424.52,15
6.0,6.0,800.0,100.0,0.5,0.4667,7,8,0.4518,1.3021,11.49,625.65,15
6.0,6.0,800.0,250.0,0.5,0.4667,7,8,0.4518,1.3021,11.49,625.65,15
6.0,6.0,800.0,400.0,0.5,0.4667,7,8,0.4518,1.3021,11.49,625.65,15
6.0,6.0,800.0,100.0,1.0,0.4667,7,8,0.4795,1.0685,19.76,645.3,15
6.0,6.0,800.0,250.0,1.0,0.4667,7,8,0.4795,1.0685,19.76,645.3,15
6.0,6.0,800.0,400.0,1.0,0.4667,7,8,0.4795,1.0685,19.76,645.3,15
8.0,4.0,800.0,100.0,0.5,0.4667,7,8,0.5345,1.2275,16.82,358.99,15
8.0,4.0,800.0,250.0,0.5,0.4667,7,8,0.5345,1.2275,16.82,358.99,15
8.0,4.0,800.0,400.0,0.5,0.4667,7,8,0.5345,1.2275,16.82,358.99,15
8.0,4.0,800.0,100.0,0.3,0.4667,7,8,0.5361,1.1411,18.49,358.99,15
8.0,4.0,800.0,250.0,0.3,0.4667,7,8,0.5361,1.1411,18.49,358.99,15
8.0,4.0,800.0,400.0,0.3,0.4667,7,8,0.5361,1.1411,18.49,358.99,15
8.0,2.0,500.0,100.0,1.0,0.4667,7,8,0.5363,0.9293,21.09,1041.3,15
8.0,2.0,500.0,250.0,1.0,0.4667,7,8,0.5363,0.9293,21.09,1041.3,15
8.0,2.0,500.0,400.0,1.0,0.4667,7,8,0.5363,0.9293,21.09,1041.3,15
8.0,2.0,150.0,400.0,1.0,0.4667,7,8,0.5789,0.8079,66.23,1074.63,15
8.0,2.0,300.0,400.0,1.0,0.4667,7,8,0.5789,0.8079,66.23,1074.63,15
6.0,2.0,300.0,100.0,1.0,0.4667,7,8,0.5944,0.8154,63.56,1649.3,15
6.0,2.0,300.0,250.0,1.0,0.4667,7,8,0.5944,0.8154,63.56,1649.3,15
8.0,6.0,800.0,100.0,1.0,0.4667,7,8,0.6117,0.8461,21.09,645.3,15
8.0,6.0,800.0,250.0,1.0,0.4667,7,8,0.6117,0.8461,21.09,645.3,15
8.0,6.0,800.0,400.0,1.0,0.4667,7,8,0.6117,0.8461,21.09,645.3,15
8.0,4.0,500.0,100.0,1.0,0.4667,7,8,0.6736,0.7426,21.09,1354.63,15
8.0,4.0,500.0,250.0,1.0,0.4667,7,8,0.6736,0.7426,21.09,1354.63,15
8.0,4.0,500.0,400.0,1.0,0.4667,7,8,0.6736,0.7426,21.09,1354.63,15
8.0,4.0,500.0,100.0,0.5,0.4667,7,8,0.7025,0.9248,16.82,969.1,15
8.0,4.0,500.0,250.0,0.5,0.4667,7,8,0.7025,0.9248,16.82,969.1,15
8.0,4.0,500.0,400.0,0.5,0.4667,7,8,0.7025,0.9248,16.82,969.1,15
8.0,4.0,150.0,400.0,1.0,0.4667,7,8,0.7037,0.6314,375.12,1178.63,15
8.0,4.0,300.0,400.0,1.0,0.4667,7,8,0.7037,0.6314,375.12,1178.63,15
8.0,2.0,300.0,100.0,1.0,0.4667,7,8,0.7157,0.7247,66.23,1649.3,15
8.0,2.0,300.0,250.0,1.0,0.4667,7,8,0.7157,0.7247,66.23,1649.3,15
8.0,4.0,150.0,400.0,0.5,0.4667,7,8,0.8033,0.8776,325.71,866.43,15
8.0,4.0,300.0,400.0,0.5,0.4667,7,8,0.8033,0.8776,325.71,866.43,15
8.0,6.0,150.0,400.0,0.5,0.4667,7,8,0.9506,0.7289,325.71,1304.44,15
8.0,6.0,300.0,400.0,0.5,0.4667,7,8,0.9506,0.7289,325.71,1304.44,15
8.0,2.0,800.0,100.0,1.0,0.4,6,9,0.3709,1.1239,21.09,349.85,15
8.0,2.0,800.0,250.0,1.0,0.4,6,9,0.3709,1.1239,21.09,349.85,15
8.0,2.0,800.0,400.0,1.0,0.4,6,9,0.3709,1.1239,21.09,349.85,15
