open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,4.0,800.0,100.0,1.0,0.5667,17,13,0.1419,1.9226,17.41,152.5,30
6.0,4.0,800.0,250.0,1.0,0.5667,17,13,0.1419,1.9226,17.41,152.5,30
6.0,4.0,800.0,400.0,1.0,0.5667,17,13,0.1419,1.9226,17.41,152.5,30
6.0,6.0,800.0,100.0,1.0,0.5333,16,14,0.1626,1.8273,18.67,171.92,30
6.0,6.0,800.0,250.0,1.0,0.5333,16,14,0.1626,1.8273,18.67,171.92,30
6.0,6.0,800.0,400.0,1.0,0.5333,16,14,0.1626,1.8273,18.67,171.92,30
6.0,2.0,150.0,400.0,1.0,0.5333,16,14,0.1697,1.4463,42.08,408.91,30
6.0,2.0,300.0,400.0,1.0,0.5333,16,14,0.1697,1.4463,42.08,408.91,30
6.0,4.0,500.0,100.0,1.0,0.5333,16,14,0.174,1.454,43.34,400.66,30
6.0,4.0,500.0,250.0,1.0,0.5333,16,14,0.174,1.454,43.34,400.66,30
6.0,4.0,500.0,400.0,1.0,0.5333,16,14,0.174,1.454,43.34,400.66,30
8.0,2.0,150.0,400.0,1.0,0.5333,16,14,0.1753,1.1266,48.01,407.92,30
8.0,2.0,300.0,400.0,1.0,0.5333,16,14,0.1753,1.1266,48.01,407.92,30
6.0,4.0,150.0,400.0,1.0,0.5333,16,14,0.2098,1.2911,71.12,478.98,30
6.0,4.0,300.0,400.0,1.0,0.5333,16,14,0.2098,1.2911,71.12,478.98,30
8.0,4.0,150.0,400.0,1.0,0.5333,16,14,0.2344,1.0744,202.46,353.65,30
8.0,4.0,300.0,400.0,1.0,0.5333,16,14,0.2344,1.0744,202.46,353.65,30
6.0,8.0,500.0,100.0,1.0,0.5333,16,14,0.3053,1.324,196.97,587.99,30
6.0,8.0,500.0,250.0,1.0,0.5333,16,14,0.3053,1.324,196.97,587.99,30
6.0,8.0,500.0,400.0,1.0,0.5333,16,14,0.3053,1.324,196.97,587.99,30
8.0,8.0,500.0,100.0,1.0,0.5333,16,14,0.3761,1.1141,202.46,592.66,30
8.0,8.0,500.0,250.0,1.0,0.5333,16,14,0.3761,1.1141,202.46,592.66,30
8.0,8.0,500.0,400.0,1.0,0.5333,16,14,0.3761,1.1141,202.46,592.66,30
10.0,8.0,500.0,100.0,1.0,0.5333,16,14,0.5927,0.91,183.96,481.15,30
10.0,8.0,500.0,250.0,1.0,0.5333,16,14,0.5927,0.91,183.96,481.15,30
10.0,8.0,500.0,400.0,1.0,0.5333,16,14,0.5927,0.91,183.96,481.15,30
12.0,6.0,150.0,400.0,1.0,0.5333,16,14,0.6905,0.7271,223.96,471.62,30
12.0,6.0,300.0,400.0,1.0,0.5333,16,14,0.6905,0.7271,223.96,471.62,30
12.0,8.0,500.0,100.0,1.0,0.5333,16,14,0.7776,0.8309,223.96,538.71,30
12.0,8.0,500.0,250.0,1.0,0.5333,16,14,0.7776,0.8309,223.96,538.71,30
12.0,8.0,500.0,400.0,1.0,0.5333,16,14,0.7776,0.8309,223.96,538.71,30
8.0,2.0,800.0,100.0,1.0,0.5,15,15,0.1405,1.7538,25.29,115.16,30
8.0,2.0,800.0,250.0,1.0,0.5,15,15,0.1405,1.7538,25.29,115.16,30
8.0,2.0,800.0,400.0,1.0,0.5,15,15,0.1405,1.7538,25.29,115.16,30
8.0,4.0,800.0,100.0,1.0,0.5,15,15,0.1505,1.6805,25.29,152.5,30
8.0,4.0,800.0,250.0,1.0,0.5,15,15,0.1505,1.6805,25.29,152.5,30
8.0,4.0,800.0,400.0,1.0,0.5,15,15,0.1505,1.6805,25.29,152.5,30
6.0,2.0,500.0,100.0,1.0,0.5,15,15,0.152,1.618,20.18,394.58,30
6.0,2.0,500.0,250.0,1.0,0.5,15,15,0.152,1.618,20.18,394.58,30
6.0,2.0,500.0,400.0,1.0,0.5,15,15,0.152,1.618,20.18,394.58,30
8.0,2.0,500.0,100.0,1.0,0.5,15,15,0.1573,1.2859,25.44,394.58,30
8.0,2.0,500.0,250.0,1.0,0.5,15,15,0.1573,1.2859,25.44,394.58,30
8.0,2.0,500.0,400.0,1.0,0.5,15,15,0.1573,1.2859,25.44,394.58,30
8.0,6.0,800.0,100.0,1.0,0.5,15,15,0.1707,1.544,26.11,171.92,30
8.0,6.0,800.0,250.0,1.0,0.5,15,15,0.1707,1.544,26.11,171.92,30
8.0,6.0,800.0,400.0,1.0,0.5,15,15,0.1707,1.544,26.11,171.92,30
8.0,4.0,500.0,100.0,1.0,0.5,15,15,0.2213,1.2353,25.44,443.99,30
8.0,4.0,500.0,250.0,1.0,0.5,15,15,0.2213,1.2353,25.44,443.99,30
8.0,4.0,500.0,400.0,1.0,0.5,15,15,0.2213,1.2353,25.44,443.99,30
8.0,4.0,800.0,100.0,0.5,0.5,15,15,0.2231,1.8544,24.01,119.73,30
8.0,4.0,800.0,250.0,0.5,0.5,15,15,0.2231,1.8544,24.01,119.73,30
8.0,4.0,800.0,400.0,0.5,0.5,15,15,0.2231,1.8544,24.01,119.73,30
6.0,8.0,800.0,100.0,1.0,0.5,15,15,0.226,1.7427,18.67,416.66,30
6.0,8.0,800.0,250.0,1.0,0.5,15,15,0.226,1.7427,18.67,416.66,30
6.0,8.0,800.0,400.0,1.0,0.5,15,15,0.226,1.7427,18.67,416.66,30
6.0,2.0,300.0,100.0,1.0,0.5,15,15,0.2266,1.2466,42.08,593.71,30
6.0,2.0,300.0,250.0,1.0,0.5,15,15,0.2266,1.2466,42.08,593.71,30
8.0,6.0,800.0,100.0,0.5,0.5,15,15,0.2275,1.7221,24.82,123.33,30
8.0,6.0,800.0,250.0,0.5,0.5,15,15,0.2275,1.7221,24.82,123.33,30
8.0,6.0,800.0,400.0,0.5,0.5,15,15,0.2275,1.7221,24.82,123.33,30
6.0,6.0,500.0,100.0,1.0,0.5,15,15,0.2306,1.37,42.53,592.66,30
6.0,6.0,500.0,250.0,1.0,0.5,15,15,0.2306,1.37,42.53,592.66,30
6.0,6.0,500.0,400.0,1.0,0.5,15,15,0.2306,1.37,42.53,592.66,30
8.0,8.0,800.0,100.0,1.0,0.5,15,15,0.2514,1.4881,26.11,421.32,30
8.0,8.0,800.0,250.0,1.0,0.5,15,15,0.2514,1.4881,26.11,421.32,30
8.0,8.0,800.0,400.0,1.0,0.5,15,15,0.2514,1.4881,26.11,421.32,30
6.0,6.0,150.0,400.0,1.0,0.5,15,15,0.2646,1.1912,197.79,562.46,30
6.0,6.0,300.0,400.0,1.0,0.5,15,15,0.2646,1.1912,197.79,562.46,30
8.0,6.0,500.0,100.0,1.0,0.5,15,15,0.2954,1.1728,25.44,643.32,30
8.0,6.0,500.0,250.0,1.0,0.5,15,15,0.2954,1.1728,25.44,643.32,30
8.0,6.0,500.0,400.0,1.0,0.5,15,15,0.2954,1.1728,25.44,643.32,30
8.0,6.0,150.0,400.0,1.0,0.5,15,15,0.3126,1.0186,202.46,562.46,30
8.0,6.0,300.0,400.0,1.0,0.5,15,15,0.3126,1.0186,202.46,562.46,30
6.0,8.0,150.0,400.0,0.5,0.5,15,15,0.3466,1.3266,195.82,654.46,30
6.0,8.0,300.0,400.0,0.5,0.5,15,15,0.3466,1.3266,195.82,654.46,30
8.0,6.0,150.0,400.0,0.5,0.5,15,15,0.3492,1.2292,178.58,387.03,30
8.0,6.0,300.0,400.0,0.5,0.5,15,15,0.3492,1.2292,178.58,387.03,30
10.0,2.0,150.0,400.0,1.0,0.5,15,15,0.4015,0.9315,28.85,366.48,30
10.0,2.0,300.0,400.0,1.0,0.5,15,15,0.4015,0.9315,28.85,366.48,30
12.0,6.0,800.0,100.0,1.0,0.5,15,15,0.4033,1.1713,42.18,139.15,30
12.0,6.0,800.0,250.0,1.0,0.5,15,15,0.4033,1.1713,42.18,139.15,30
12.0,6.0,800.0,400.0,1.0,0.5,15,15,0.4033,1.1713,42.18,139.15,30
10.0,2.0,150.0,400.0,0.5,0.5,15,15,0.4056,1.1376,32.23,367.15,30
10.0,2.0,300.0,400.0,0.5,0.5,15,15,0.4056,1.1376,32.23,367.15,30
8.0,8.0,500.0,100.0,0.5,0.5,15,15,0.4372,1.2966,213.12,520.56,30
8.0,8.0,500.0,250.0,0.5,0.5,15,15,0.4372,1.2966,213.12,520.56,30
8.0,8.0,500.0,400.0,0.5,0.5,15,15,0.4372,1.2966,213.12,520.56,30
8.0,8.0,150.0,400.0,0.5,0.5,15,15,0.4732,1.1438,131.92,689.03,30
8.0,8.0,300.0,400.0,0.5,0.5,15,15,0.4732,1.1438,131.92,689.03,30
10.0,4.0,150.0,400.0,1.0,0.5,15,15,0.4877,0.885,183.3,304.14,30
10.0,4.0,300.0,400.0,1.0,0.5,15,15,0.4877,0.885,183.3,304.14,30
10.0,4.0,150.0,400.0,0.5,0.5,15,15,0.4947,1.012,186.68,290.48,30
10.0,4.0,300.0,400.0,0.5,0.5,15,15,0.4947,1.012,186.68,290.48,30
12.0,2.0,150.0,400.0,1.0,0.5,15,15,0.4955,0.8662,42.18,367.15,30
12.0,2.0,300.0,400.0,1.0,0.5,15,15,0.4955,0.8662,42.18,367.15,30
