open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,low_hz,high_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,4.0,500.0,100.0,1.0,150.0,3400.0,0.6,18,12,0.1826,1.4813,42.68,508.58,30
6.0,4.0,500.0,250.0,1.0,150.0,3400.0,0.6,18,12,0.1826,1.4813,42.68,508.58,30
6.0,6.0,500.0,100.0,1.0,150.0,4000.0,0.6,18,12,0.2453,1.43,41.86,611.32,30
6.0,6.0,500.0,250.0,1.0,150.0,4000.0,0.6,18,12,0.2453,1.43,41.86,611.32,30
6.0,6.0,500.0,100.0,1.0,300.0,4000.0,0.6,18,12,0.2506,1.508,41.19,617.32,30
6.0,6.0,500.0,250.0,1.0,300.0,4000.0,0.6,18,12,0.2506,1.508,41.19,617.32,30
6.0,6.0,500.0,100.0,1.0,150.0,3400.0,0.6,18,12,0.2606,1.432,41.86,617.32,30
6.0,6.0,500.0,250.0,1.0,150.0,3400.0,0.6,18,12,0.2606,1.432,41.86,617.32,30
6.0,6.0,500.0,100.0,1.0,300.0,3400.0,0.6,18,12,0.2633,1.5139,41.19,640.66,30
6.0,6.0,500.0,250.0,1.0,300.0,3400.0,0.6,18,12,0.2633,1.5139,41.19,640.66,30
6.0,2.0,500.0,100.0,1.0,300.0,4000.0,0.5667,17,13,0.1532,1.6378,19.29,503.92,30
6.0,2.0,500.0,250.0,1.0,300.0,4000.0,0.5667,17,13,0.1532,1.6378,19.29,503.92,30
6.0,2.0,500.0,100.0,1.0,150.0,4000.0,0.5667,17,13,0.1559,1.5819,20.78,503.25,30
6.0,2.0,500.0,250.0,1.0,150.0,4000.0,0.5667,17,13,0.1559,1.5819,20.78,503.25,30
6.0,2.0,500.0,100.0,1.0,150.0,3400.0,0.5667,17,13,0.1626,1.5806,20.78,503.25,30
6.0,2.0,500.0,250.0,1.0,150.0,3400.0,0.5667,17,13,0.1626,1.5806,20.78,503.25,30
6.0,4.0,500.0,100.0,1.0,150.0,4000.0,0.5667,17,13,0.1759,1.4806,42.68,508.58,30
6.0,4.0,500.0,250.0,1.0,150.0,4000.0,0.5667,17,13,0.1759,1.4806,42.68,508.58,30
8.0,4.0,500.0,100.0,1.0,150.0,3400.0,0.5667,17,13,0.1766,1.2946,44.01,508.58,30
8.0,4.0,500.0,250.0,1.0,150.0,3400.0,0.5667,17,13,0.1766,1.2946,44.01,508.58,30
8.0,6.0,500.0,100.0,1.0,150.0,4000.0,0.5667,17,13,0.2659,1.2359,43.19,611.32,30
8.0,6.0,500.0,250.0,1.0,150.0,4000.0,0.5667,17,13,0.2659,1.2359,43.19,611.32,30
8.0,6.0,500.0,100.0,1.0,300.0,4000.0,0.5667,17,13,0.2781,1.3068,43.34,626.7,30
8.0,6.0,500.0,250.0,1.0,300.0,4000.0,0.5667,17,13,0.2781,1.3068,43.34,626.7,30
8.0,6.0,500.0,100.0,1.0,150.0,3400.0,0.5667,17,13,0.2846,1.232,43.19,617.32,30
8.0,6.0,500.0,250.0,1.0,150.0,3400.0,0.5667,17,13,0.2846,1.232,43.19,617.32,30
8.0,6.0,500.0,100.0,1.0,300.0,3400.0,0.5667,17,13,0.2883,1.2717,43.34,650.03,30
8.0,6.0,500.0,250.0,1.0,300.0,3400.0,0.5667,17,13,0.2883,1.2717,43.34,650.03,30
10.0,4.0,500.0,100.0,1.0,150.0,3400.0,0.5667,17,13,0.3354,1.1528,32.78,468.48,30
10.0,4.0,500.0,250.0,1.0,150.0,3400.0,0.5667,17,13,0.3354,1.1528,32.78,468.48,30
10.0,6.0,500.0,100.0,1.0,150.0,4000.0,0.5667,17,13,0.414,1.154,32.78,562.56,30
10.0,6.0,500.0,250.0,1.0,150.0,4000.0,0.5667,17,13,0.414,1.154,32.78,562.56,30
10.0,6.0,500.0,100.0,1.0,150.0,3400.0,0.5667,17,13,0.4228,1.0808,32.78,585.22,30
10.0,6.0,500.0,250.0,1.0,150.0,3400.0,0.5667,17,13,0.4228,1.0808,32.78,585.22,30
12.0,6.0,500.0,100.0,1.0,150.0,4000.0,0.5667,17,13,0.5267,0.9633,55.44,568.56,30
12.0,6.0,500.0,250.0,1.0,150.0,4000.0,0.5667,17,13,0.5267,0.9633,55.44,568.56,30
12.0,6.0,500.0,100.0,1.0,150.0,3400.0,0.5667,17,13,0.63,0.9587,31.04,473.63,30
12.0,6.0,500.0,250.0,1.0,150.0,3400.0,0.5667,17,13,0.63,0.9587,31.04,473.63,30
6.0,4.0,800.0,100.0,1.0,150.0,3400.0,0.5333,16,14,0.1405,2.0092,18.0,150.5,30
6.0,4.0,800.0,100.0,1.0,150.0,4000.0,0.5333,16,14,0.1405,2.0112,18.0,150.5,30
6.0,4.0,800.0,250.0,1.0,150.0,3400.0,0.5333,16,14,0.1405,2.0092,18.0,150.5,30
6.0,4.0,800.0,250.0,1.0,150.0,4000.0,0.5333,16,14,0.1405,2.0112,18.0,150.5,30
8.0,4.0,800.0,100.0,1.0,150.0,3400.0,0.5333,16,14,0.1445,1.7725,21.29,150.5,30
8.0,4.0,800.0,100.0,1.0,150.0,4000.0,0.5333,16,14,0.1445,1.7751,21.29,150.5,30
8.0,4.0,800.0,250.0,1.0,150.0,3400.0,0.5333,16,14,0.1445,1.7725,21.29,150.5,30
8.0,4.0,800.0,250.0,1.0,150.0,4000.0,0.5333,16,14,0.1445,1.7751,21.29,150.5,30
6.0,2.0,500.0,100.0,1.0,300.0,3400.0,0.5333,16,14,0.1618,1.6338,19.29,503.92,30
6.0,2.0,500.0,250.0,1.0,300.0,3400.0,0.5333,16,14,0.1618,1.6338,19.29,503.92,30
6.0,6.0,800.0,100.0,1.0,150.0,4000.0,0.5333,16,14,0.1619,1.8719,18.0,171.92,30
6.0,6.0,800.0,250.0,1.0,150.0,4000.0,0.5333,16,14,0.1619,1.8719,18.0,171.92,30
8.0,2.0,500.0,100.0,1.0,150.0,3400.0,0.5333,16,14,0.1679,1.3579,21.44,503.25,30
8.0,2.0,500.0,100.0,1.0,150.0,4000.0,0.5333,16,14,0.1679,1.3573,21.44,503.25,30
8.0,2.0,500.0,250.0,1.0,150.0,3400.0,0.5333,16,14,0.1679,1.3579,21.44,503.25,30
8.0,2.0,500.0,250.0,1.0,150.0,4000.0,0.5333,16,14,0.1679,1.3573,21.44,503.25,30
8.0,2.0,500.0,100.0,1.0,300.0,3400.0,0.5333,16,14,0.1686,1.4206,21.44,503.92,30
8.0,2.0,500.0,100.0,1.0,300.0,4000.0,0.5333,16,14,0.1686,1.4199,21.44,503.92,30
8.0,2.0,500.0,250.0,1.0,300.0,3400.0,0.5333,16,14,0.1686,1.4206,21.44,503.92,30
8.0,2.0,500.0,250.0,1.0,300.0,4000.0,0.5333,16,14,0.1686,1.4199,21.44,503.92,30
6.0,4.0,500.0,100.0,1.0,300.0,4000.0,0.5333,16,14,0.1745,1.5891,41.19,508.58,30
