open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,attack_tc,decay_tc,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,2.0,500.0,100.0,1.0,0.005,0.15,0.5333,16,14,0.1744,1.2784,26.58,339.83,30
6.0,2.0,500.0,250.0,1.0,0.005,0.15,0.5333,16,14,0.1744,1.2784,26.58,339.83,30
8.0,2.0,500.0,100.0,1.0,0.005,0.15,0.5333,16,14,0.3574,1.0834,23.98,353.43,30
8.0,2.0,500.0,250.0,1.0,0.005,0.15,0.5333,16,14,0.3574,1.0834,23.98,353.43,30
6.0,2.0,300.0,100.0,0.3,0.02,0.15,0.5333,16,14,0.3926,1.0766,45.42,589.06,30
6.0,2.0,300.0,250.0,0.3,0.02,0.15,0.5333,16,14,0.3926,1.0766,45.42,589.06,30
8.0,2.0,300.0,100.0,0.3,0.005,0.15,0.5333,16,14,0.6132,0.9538,196.21,473.62,30
8.0,2.0,300.0,250.0,0.3,0.005,0.15,0.5333,16,14,0.6132,0.9538,196.21,473.62,30
8.0,2.0,500.0,100.0,0.3,0.005,0.15,0.5333,16,14,0.6182,1.1776,196.23,265.99,30
8.0,2.0,500.0,250.0,0.3,0.005,0.15,0.5333,16,14,0.6182,1.1776,196.23,265.99,30
6.0,2.0,300.0,100.0,0.3,0.02,0.6,0.5333,16,14,0.7145,0.9711,24.65,549.82,30
6.0,2.0,300.0,250.0,0.3,0.02,0.6,0.5333,16,14,0.7145,0.9711,24.65,549.82,30
6.0,4.0,300.0,100.0,0.3,0.02,0.6,0.5333,16,14,0.8435,0.8921,24.65,670.83,30
6.0,4.0,300.0,250.0,0.3,0.02,0.6,0.5333,16,14,0.8435,0.8921,24.65,670.83,30
6.0,2.0,800.0,100.0,1.0,0.005,0.15,0.5,15,15,0.1439,1.6359,26.11,145.16,30
6.0,2.0,800.0,250.0,1.0,0.005,0.15,0.5,15,15,0.1439,1.6359,26.11,145.16,30
6.0,2.0,500.0,100.0,1.0,0.005,0.3,0.5,15,15,0.2052,1.2785,26.58,307.92,30
6.0,2.0,500.0,250.0,1.0,0.005,0.3,0.5,15,15,0.2052,1.2785,26.58,307.92,30
6.0,2.0,500.0,100.0,1.0,0.02,0.15,0.5,15,15,0.212,1.1927,29.54,411.16,30
6.0,2.0,500.0,250.0,1.0,0.02,0.15,0.5,15,15,0.212,1.1927,29.54,411.16,30
6.0,2.0,500.0,100.0,1.0,0.005,0.6,0.5,15,15,0.2245,1.2719,28.62,306.58,30
6.0,2.0,500.0,250.0,1.0,0.005,0.6,0.5,15,15,0.2245,1.2719,28.62,306.58,30
6.0,2.0,500.0,100.0,1.0,0.02,0.3,0.5,15,15,0.2275,1.1761,32.21,307.92,30
6.0,2.0,500.0,250.0,1.0,0.02,0.3,0.5,15,15,0.2275,1.1761,32.21,307.92,30
6.0,2.0,500.0,100.0,1.0,0.02,0.6,0.5,15,15,0.2468,1.2188,35.54,305.92,30
6.0,2.0,500.0,250.0,1.0,0.02,0.6,0.5,15,15,0.2468,1.2188,35.54,305.92,30
6.0,4.0,500.0,100.0,1.0,0.005,0.15,0.5,15,15,0.2519,1.1746,26.58,589.32,30
6.0,4.0,500.0,250.0,1.0,0.005,0.15,0.5,15,15,0.2519,1.1746,26.58,589.32,30
6.0,4.0,500.0,100.0,1.0,0.02,0.15,0.5,15,15,0.2795,1.1209,29.54,587.32,30
6.0,4.0,500.0,250.0,1.0,0.02,0.15,0.5,15,15,0.2795,1.1209,29.54,587.32,30
6.0,2.0,300.0,100.0,1.0,0.005,0.3,0.5,15,15,0.2836,0.9922,26.58,605.65,30
6.0,2.0,300.0,250.0,1.0,0.005,0.3,0.5,15,15,0.2836,0.9922,26.58,605.65,30
8.0,2.0,800.0,100.0,1.0,0.005,0.15,0.5,15,15,0.2868,1.3954,22.03,148.76,30
8.0,2.0,800.0,250.0,1.0,0.005,0.15,0.5,15,15,0.2868,1.3954,22.03,148.76,30
6.0,2.0,300.0,100.0,1.0,0.005,0.15,0.5,15,15,0.2872,0.9752,48.01,652.46,30
6.0,2.0,300.0,250.0,1.0,0.005,0.15,0.5,15,15,0.2872,0.9752,48.01,652.46,30
6.0,2.0,500.0,100.0,0.3,0.005,0.3,0.5,15,15,0.3188,1.5441,20.18,301.92,30
6.0,2.0,500.0,250.0,0.3,0.005,0.3,0.5,15,15,0.3188,1.5441,20.18,301.92,30
6.0,2.0,500.0,100.0,0.3,0.02,0.3,0.5,15,15,0.3381,1.2854,24.18,316.58,30
6.0,2.0,500.0,250.0,0.3,0.02,0.3,0.5,15,15,0.3381,1.2854,24.18,316.58,30
6.0,4.0,500.0,100.0,1.0,0.005,0.3,0.5,15,15,0.3439,1.1726,26.58,564.66,30
6.0,4.0,500.0,250.0,1.0,0.005,0.3,0.5,15,15,0.3439,1.1726,26.58,564.66,30
6.0,2.0,300.0,100.0,1.0,0.02,0.15,0.5,15,15,0.3485,0.9225,52.11,660.98,30
6.0,2.0,300.0,250.0,1.0,0.02,0.15,0.5,15,15,0.3485,0.9225,52.11,660.98,30
6.0,2.0,800.0,100.0,0.3,0.02,0.6,0.5,15,15,0.3593,1.3893,23.5,204.48,30
6.0,2.0,800.0,250.0,0.3,0.02,0.6,0.5,15,15,0.3593,1.3893,23.5,204.48,30
6.0,2.0,500.0,100.0,0.3,0.02,0.15,0.5,15,15,0.3616,1.3236,22.18,307.43,30
6.0,2.0,500.0,250.0,0.3,0.02,0.15,0.5,15,15,0.3616,1.3236,22.18,307.43,30
6.0,2.0,300.0,100.0,1.0,0.005,0.6,0.5,15,15,0.3696,1.0083,28.62,601.65,30
6.0,2.0,300.0,250.0,1.0,0.005,0.6,0.5,15,15,0.3696,1.0083,28.62,601.65,30
6.0,4.0,500.0,100.0,1.0,0.02,0.3,0.5,15,15,0.3909,1.1002,32.21,624.66,30
6.0,4.0,500.0,250.0,1.0,0.02,0.3,0.5,15,15,0.3909,1.1002,32.21,624.66,30
6.0,2.0,300.0,100.0,1.0,0.02,0.3,0.5,15,15,0.3912,0.9225,32.21,652.98,30
6.0,2.0,300.0,250.0,1.0,0.02,0.3,0.5,15,15,0.3912,0.9225,32.21,652.98,30
6.0,2.0,500.0,100.0,0.3,0.02,0.6,0.5,15,15,0.416,1.1833,24.18,270.48,30
6.0,2.0,500.0,250.0,0.3,0.02,0.6,0.5,15,15,0.416,1.1833,24.18,270.48,30
8.0,2.0,500.0,100.0,1.0,0.005,0.3,0.5,15,15,0.4165,1.0418,24.65,270.48,30
8.0,2.0,500.0,250.0,1.0,0.005,0.3,0.5,15,15,0.4165,1.0418,24.65,270.48,30
6.0,4.0,300.0,100.0,0.3,0.005,0.15,0.5,15,15,0.4719,1.1859,193.89,533.07,30
6.0,4.0,300.0,250.0,0.3,0.005,0.15,0.5,15,15,0.4719,1.1859,193.89,533.07,30
6.0,4.0,500.0,100.0,0.3,0.02,0.15,0.5,15,15,0.4801,1.2494,22.18,639.25,30
6.0,4.0,500.0,250.0,0.3,0.02,0.15,0.5,15,15,0.4801,1.2494,22.18,639.25,30
6.0,2.0,300.0,100.0,1.0,0.02,0.6,0.5,15,15,0.4885,0.9619,34.88,598.98,30
6.0,2.0,300.0,250.0,1.0,0.02,0.6,0.5,15,15,0.4885,0.9619,34.88,598.98,30
8.0,2.0,300.0,100.0,1.0,0.005,0.15,0.5,15,15,0.497,0.8037,23.32,643.06,30
8.0,2.0,300.0,250.0,1.0,0.005,0.15,0.5,15,15,0.497,0.8037,23.32,643.06,30
6.0,2.0,300.0,100.0,0.3,0.02,0.3,0.5,15,15,0.5139,1.0292,23.98,641.25,30
6.0,2.0,300.0,250.0,0.3,0.02,0.3,0.5,15,15,0.5139,1.0292,23.98,641.25,30
6.0,4.0,300.0,100.0,0.3,0.02,0.15,0.5,15,15,0.5186,0.9806,199.2,551.06,30
6.0,4.0,300.0,250.0,0.3,0.02,0.15,0.5,15,15,0.5186,0.9806,199.2,551.06,30
6.0,4.0,500.0,100.0,0.3,0.02,0.3,0.5,15,15,0.5186,1.2179,23.98,563.25,30
6.0,4.0,500.0,250.0,0.3,0.02,0.3,0.5,15,15,0.5186,1.2179,23.98,563.25,30
8.0,4.0,500.0,100.0,1.0,0.005,0.15,0.5,15,15,0.5192,1.0239,23.32,588.58,30
8.0,4.0,500.0,250.0,1.0,0.005,0.15,0.5,15,15,0.5192,1.0239,23.32,588.58,30
8.0,2.0,800.0,100.0,0.3,0.005,0.15,0.5,15,15,0.5381,1.4387,195.39,119.99,30
8.0,2.0,800.0,250.0,0.3,0.005,0.15,0.5,15,15,0.5381,1.4387,195.39,119.99,30
6.0,4.0,300.0,100.0,0.3,0.005,0.3,0.5,15,15,0.5412,1.1286,20.16,703.07,30
6.0,4.0,300.0,250.0,0.3,0.005,0.3,0.5,15,15,0.5412,1.1286,20.16,703.07,30
6.0,4.0,800.0,100.0,0.3,0.02,0.6,0.5,15,15,0.5493,1.3513,23.5,404.48,30
6.0,4.0,800.0,250.0,0.3,0.02,0.6,0.5,15,15,0.5493,1.3513,23.5,404.48,30
6.0,6.0,500.0,100.0,0.3,0.005,0.3,0.5,15,15,0.5548,1.2854,20.18,718.6,30
6.0,6.0,500.0,250.0,0.3,0.005,0.3,0.5,15,15,0.5548,1.2854,20.18,718.6,30
6.0,4.0,300.0,100.0,0.3,0.02,0.3,0.5,15,15,0.5786,0.9419,23.52,709.06,30
6.0,4.0,300.0,250.0,0.3,0.02,0.3,0.5,15,15,0.5786,0.9419,23.52,709.06,30
6.0,6.0,500.0,100.0,1.0,0.02,0.3,0.5,15,15,0.5839,1.0392,103.99,805.67,30
6.0,6.0,500.0,250.0,1.0,0.02,0.3,0.5,15,15,0.5839,1.0392,103.99,805.67,30
6.0,2.0,300.0,100.0,0.3,0.005,0.6,0.5,15,15,0.5948,1.1241,22.18,618.58,30
6.0,2.0,300.0,250.0,0.3,0.005,0.6,0.5,15,15,0.5948,1.1241,22.18,618.58,30
8.0,2.0,300.0,100.0,1.0,0.02,0.15,0.5,15,15,0.6058,0.7191,33.62,562.81,30
8.0,2.0,300.0,250.0,1.0,0.02,0.15,0.5,15,15,0.6058,0.7191,33.62,562.81,30
8.0,4.0,500.0,100.0,1.0,0.02,0.15,0.5,15,15,0.6068,0.8948,33.62,537.15,30
8.0,4.0,500.0,250.0,1.0,0.02,0.15,0.5,15,15,0.6068,0.8948,33.62,537.15,30
8.0,4.0,500.0,100.0,1.0,0.005,0.3,0.5,15,15,0.6198,0.9851,24.65,499.15,30
8.0,4.0,500.0,250.0,1.0,0.005,0.3,0.5,15,15,0.6198,0.9851,24.65,499.15,30
6.0,6.0,500.0,100.0,0.3,0.02,0.3,0.5,15,15,0.6359,1.1099,61.1,720.6,30
6.0,6.0,500.0,250.0,0.3,0.02,0.3,0.5,15,15,0.6359,1.1099,61.1,720.6,30
8.0,2.0,500.0,100.0,0.3,0.02,0.3,0.5,15,15,0.6394,1.0054,28.47,256.22,30
8.0,2.0,500.0,250.0,0.3,0.02,0.3,0.5,15,15,0.6394,1.0054,28.47,256.22,30
8.0,2.0,300.0,100.0,1.0,0.005,0.3,0.5,15,15,0.6601,0.8028,24.65,556.81,30
8.0,2.0,300.0,250.0,1.0,0.005,0.3,0.5,15,15,0.6601,0.8028,24.65,556.81,30
8.0,2.0,300.0,100.0,0.3,0.02,0.15,0.5,15,15,0.6652,0.8905,26.47,455.36,30
8.0,2.0,300.0,250.0,0.3,0.02,0.15,0.5,15,15,0.6652,0.8905,26.47,455.36,30
10.0,4.0,500.0,100.0,1.0,0.005,0.15,0.5,15,15,0.6951,0.9411,35.32,560.48,30
10.0,4.0,500.0,250.0,1.0,0.005,0.15,0.5,15,15,0.6951,0.9411,35.32,560.48,30
10.0,2.0,300.0,100.0,1.0,0.005,0.15,0.5,15,15,0.6976,0.7503,35.32,554.29,30
10.0,2.0,300.0,250.0,1.0,0.005,0.15,0.5,15,15,0.6976,0.7503,35.32,554.29,30
8.0,4.0,500.0,100.0,0.3,0.005,0.15,0.5,15,15,0.7,1.1307,196.23,469.82,30
8.0,4.0,500.0,250.0,0.3,0.005,0.15,0.5,15,15,0.7,1.1307,196.23,469.82,30
8.0,4.0,300.0,100.0,0.3,0.005,0.15,0.5,15,15,0.7212,0.8865,350.66,395.64,30
8.0,4.0,300.0,250.0,0.3,0.005,0.15,0.5,15,15,0.7212,0.8865,350.66,395.64,30
6.0,6.0,800.0,100.0,0.3,0.02,0.6,0.5,15,15,0.738,1.2753,24.85,592.5,30
6.0,6.0,800.0,250.0,0.3,0.02,0.6,0.5,15,15,0.738,1.2753,24.85,592.5,30
6.0,4.0,500.0,100.0,0.3,0.02,0.6,0.5,15,15,0.7438,1.0992,24.65,593.83,30
6.0,4.0,500.0,250.0,0.3,0.02,0.6,0.5,15,15,0.7438,1.0992,24.65,593.83,30
8.0,4.0,500.0,100.0,0.3,0.02,0.3,0.5,15,15,0.7972,0.9625,28.94,477.55,30
8.0,4.0,500.0,250.0,0.3,0.02,0.3,0.5,15,15,0.7972,0.9625,28.94,477.55,30
8.0,2.0,300.0,100.0,0.3,0.02,0.3,0.5,15,15,0.8108,0.8168,28.27,468.55,30
8.0,2.0,300.0,250.0,0.3,0.02,0.3,0.5,15,15,0.8108,0.8168,28.27,468.55,30
6.0,6.0,500.0,100.0,0.3,0.02,0.6,0.5,15,15,0.8509,1.0042,61.76,682.2,30
6.0,6.0,500.0,250.0,0.3,0.02,0.6,0.5,15,15,0.8509,1.0042,61.76,682.2,30
8.0,2.0,300.0,100.0,0.3,0.005,0.6,0.5,15,15,0.8575,0.9028,21.58,462.55,30
8.0,2.0,300.0,250.0,0.3,0.005,0.6,0.5,15,15,0.8575,0.9028,21.58,462.55,30
8.0,4.0,300.0,100.0,0.3,0.02,0.3,0.5,15,15,0.8932,0.7718,27.8,520.71,30
8.0,4.0,300.0,250.0,0.3,0.02,0.3,0.5,15,15,0.8932,0.7718,27.8,520.71,30
10.0,2.0,300.0,100.0,0.3,0.005,0.15,0.5,15,15,0.9427,0.904,159.99,369.36,30
10.0,2.0,300.0,250.0,0.3,0.005,0.15,0.5,15,15,0.9427,0.904,159.99,369.36,30
10.0,2.0,500.0,100.0,0.3,0.005,0.3,0.5,15,15,1.0024,0.9884,18.0,299.73,30
10.0,2.0,500.0,250.0,0.3,0.005,0.3,0.5,15,15,1.0024,0.9884,18.0,299.73,30
10.0,4.0,500.0,100.0,0.3,0.005,0.3,0.5,15,15,1.0757,0.9524,18.0,373.06,30
10.0,4.0,500.0,250.0,0.3,0.005,0.3,0.5,15,15,1.0757,0.9524,18.0,373.06,30
10.0,2.0,300.0,100.0,0.3,0.005,0.3,0.5,15,15,1.0774,0.7967,18.0,374.72,30
10.0,2.0,300.0,250.0,0.3,0.005,0.3,0.5,15,15,1.0774,0.7967,18.0,374.72,30
10.0,6.0,500.0,100.0,0.3,0.005,0.3,0.5,15,15,1.1944,0.8891,18.0,445.75,30
10.0,6.0,500.0,250.0,0.3,0.005,0.3,0.5,15,15,1.1944,0.8891,18.0,445.75,30
6.0,2.0,800.0,100.0,1.0,0.005,0.6,0.4667,14,16,0.1561,1.5401,27.47,230.58,30
