open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,cutoff_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,2.0,800.0,100.0,1.0,80.0,0.6,9,6,0.3627,1.2743,12.82,349.85,15
6.0,2.0,800.0,250.0,1.0,80.0,0.6,9,6,0.3627,1.2743,12.82,349.85,15
8.0,2.0,800.0,100.0,1.0,80.0,0.6,9,6,0.368,1.1383,18.15,349.85,15
8.0,2.0,800.0,250.0,1.0,80.0,0.6,9,6,0.368,1.1383,18.15,349.85,15
6.0,4.0,800.0,100.0,1.0,80.0,0.6,9,6,0.3773,1.2223,12.82,420.52,15
6.0,4.0,800.0,250.0,1.0,80.0,0.6,9,6,0.3773,1.2223,12.82,420.52,15
8.0,4.0,800.0,100.0,1.0,80.0,0.6,9,6,0.384,1.0863,18.15,420.52,15
8.0,4.0,800.0,250.0,1.0,80.0,0.6,9,6,0.384,1.0863,18.15,420.52,15
8.0,6.0,800.0,100.0,1.0,80.0,0.6,9,6,0.5465,1.0248,18.15,638.99,15
8.0,6.0,800.0,250.0,1.0,80.0,0.6,9,6,0.5465,1.0248,18.15,638.99,15
6.0,2.0,800.0,100.0,1.0,200.0,0.5333,8,7,0.3613,1.309,11.49,349.85,15
6.0,2.0,800.0,250.0,1.0,200.0,0.5333,8,7,0.3613,1.309,11.49,349.85,15
6.0,2.0,800.0,100.0,1.0,120.0,0.5333,8,7,0.3627,1.337,12.82,349.85,15
6.0,2.0,800.0,250.0,1.0,120.0,0.5333,8,7,0.3627,1.337,12.82,349.85,15
8.0,2.0,800.0,100.0,1.0,120.0,0.5333,8,7,0.368,1.2037,18.15,349.85,15
8.0,2.0,800.0,250.0,1.0,120.0,0.5333,8,7,0.368,1.2037,18.15,349.85,15
6.0,4.0,800.0,100.0,1.0,200.0,0.5333,8,7,0.376,1.261,11.49,420.52,15
