open_margin_db,close_margin_db,release_ms,hold_ms,min_window_sec,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,3.0,700.0,100.0,2.0,0.4,12,18,0.4721,1.5167,272.51,252.88,30
10.0,3.0,700.0,200.0,2.0,0.4,12,18,0.4721,1.5167,272.51,252.88,30
10.0,5.0,700.0,100.0,2.0,0.4,12,18,0.579,1.4023,331.18,500.03,30
10.0,5.0,700.0,200.0,2.0,0.4,12,18,0.579,1.4023,331.18,500.03,30
12.0,3.0,700.0,100.0,2.0,0.4,12,18,0.6741,1.2481,319.94,247.44,30
12.0,3.0,700.0,200.0,2.0,0.4,12,18,0.6741,1.2481,319.94,247.44,30
12.0,5.0,700.0,100.0,2.0,0.4,12,18,0.823,1.145,378.61,468.6,30
12.0,5.0,700.0,200.0,2.0,0.4,12,18,0.823,1.145,378.61,468.6,30
8.0,3.0,700.0,100.0,2.0,0.3667,11,19,0.4064,1.9111,208.84,252.88,30
8.0,3.0,700.0,200.0,2.0,0.3667,11,19,0.4064,1.9111,208.84,252.88,30
8.0,5.0,700.0,100.0,2.0,0.3667,11,19,0.5153,1.62,288.17,500.03,30
8.0,5.0,700.0,200.0,2.0,0.3667,11,19,0.5153,1.62,288.17,500.03,30
8.0,7.0,700.0,100.0,3.0,0.3667,11,19,0.6097,1.5017,287.98,451.16,30
8.0,7.0,700.0,200.0,3.0,0.3667,11,19,0.6097,1.5017,287.98,451.16,30
8.0,3.0,400.0,100.0,3.0,0.3667,11,19,0.6641,1.3354,257.32,544.06,30
8.0,3.0,400.0,200.0,3.0,0.3667,11,19,0.6641,1.3354,257.32,544.06,30
8.0,5.0,400.0,100.0,3.0,0.3667,11,19,0.7099,1.1913,336.65,593.0,30
8.0,5.0,400.0,200.0,3.0,0.3667,11,19,0.7099,1.1913,336.65,593.0,30
10.0,3.0,400.0,100.0,3.0,0.3667,11,19,0.746,1.0894,323.27,544.06,30
10.0,3.0,400.0,200.0,3.0,0.3667,11,19,0.746,1.0894,323.27,544.06,30
8.0,7.0,400.0,100.0,3.0,0.3667,11,19,0.7701,1.0681,336.65,659.81,30
8.0,7.0,400.0,200.0,3.0,0.3667,11,19,0.7701,1.0681,336.65,659.81,30
10.0,5.0,400.0,100.0,3.0,0.3667,11,19,0.7899,0.9846,381.94,593.0,30
10.0,5.0,400.0,200.0,3.0,0.3667,11,19,0.7899,0.9846,381.94,593.0,30
12.0,5.0,700.0,100.0,3.0,0.3667,11,19,0.8078,1.2518,395.04,423.83,30
12.0,5.0,700.0,200.0,3.0,0.3667,11,19,0.8078,1.2518,395.04,423.83,30
12.0,7.0,700.0,100.0,3.0,0.3667,11,19,0.8421,1.1947,395.04,451.16,30
12.0,7.0,700.0,200.0,3.0,0.3667,11,19,0.8421,1.1947,395.04,451.16,30
12.0,3.0,400.0,100.0,3.0,0.3667,11,19,0.8745,0.9339,336.44,544.06,30
12.0,3.0,400.0,200.0,3.0,0.3667,11,19,0.8745,0.9339,336.44,544.06,30
12.0,5.0,400.0,100.0,3.0,0.3667,11,19,0.9191,0.8157,395.11,593.0,30
12.0,5.0,400.0,200.0,3.0,0.3667,11,19,0.9191,0.8157,395.11,593.0,30
8.0,5.0,700.0,100.0,3.0,0.3333,10,20,0.5747,1.6167,287.98,423.83,30
8.0,5.0,700.0,200.0,3.0,0.3333,10,20,0.5747,1.6167,287.98,423.83,30
10.0,5.0,700.0,100.0,3.0,0.3333,10,20,0.6547,1.352,346.6,423.83,30
10.0,5.0,700.0,200.0,3.0,0.3333,10,20,0.6547,1.352,346.6,423.83,30
10.0,7.0,700.0,100.0,3.0,0.3333,10,20,0.6896,1.2716,346.6,451.16,30
10.0,7.0,700.0,200.0,3.0,0.3333,10,20,0.6896,1.2716,346.6,451.16,30
12.0,3.0,700.0,100.0,3.0,0.3333,10,20,0.7869,1.4069,334.89,414.44,30
12.0,3.0,700.0,200.0,3.0,0.3333,10,20,0.7869,1.4069,334.89,414.44,30
10.0,7.0,400.0,100.0,3.0,0.3333,10,20,0.8574,0.886,381.94,659.81,30
10.0,7.0,400.0,200.0,3.0,0.3333,10,20,0.8574,0.886,381.94,659.81,30
12.0,7.0,400.0,100.0,3.0,0.3333,10,20,1.0025,0.7599,395.11,659.81,30
12.0,7.0,400.0,200.0,3.0,0.3333,10,20,1.0025,0.7599,395.11,659.81,30
15.0,5.0,700.0,100.0,2.0,0.3333,10,20,1.1278,1.0164,338.71,468.6,30
15.0,5.0,700.0,200.0,2.0,0.3333,10,20,1.1278,1.0164,338.71,468.6,30
15.0,5.0,700.0,100.0,3.0,0.3333,10,20,1.2484,1.039,402.81,421.86,30
15.0,5.0,700.0,200.0,3.0,0.3333,10,20,1.2484,1.039,402.81,421.86,30
15.0,7.0,700.0,100.0,3.0,0.3333,10,20,1.2704,1.001,402.81,443.86,30
15.0,7.0,700.0,200.0,3.0,0.3333,10,20,1.2704,1.001,402.81,443.86,30
15.0,3.0,400.0,100.0,3.0,0.3333,10,20,1.3164,0.7711,402.88,532.76,30
15.0,3.0,400.0,200.0,3.0,0.3333,10,20,1.3164,0.7711,402.88,532.76,30
15.0,5.0,400.0,100.0,3.0,0.3333,10,20,1.3613,0.72,402.88,577.62,30
15.0,5.0,400.0,200.0,3.0,0.3333,10,20,1.3613,0.72,402.88,577.62,30
8.0,3.0,700.0,100.0,1.0,0.3,9,21,0.261,1.771,51.17,216.57,30
8.0,3.0,700.0,200.0,1.0,0.3,9,21,0.261,1.771,51.17,216.57,30
10.0,3.0,700.0,100.0,1.0,0.3,9,21,0.4064,1.3984,63.91,215.83,30
10.0,3.0,700.0,200.0,1.0,0.3,9,21,0.4064,1.3984,63.91,215.83,30
8.0,3.0,700.0,100.0,3.0,0.3,9,21,0.5439,1.7952,159.83,414.44,30
8.0,3.0,700.0,200.0,3.0,0.3,9,21,0.5439,1.7952,159.83,414.44,30
10.0,3.0,700.0,100.0,3.0,0.3,9,21,0.6078,1.5185,223.12,414.44,30
10.0,3.0,700.0,200.0,3.0,0.3,9,21,0.6078,1.5185,223.12,414.44,30
8.0,7.0,700.0,100.0,2.0,0.3,9,21,0.6859,1.5285,288.17,841.44,30
8.0,7.0,700.0,200.0,2.0,0.3,9,21,0.6859,1.5285,288.17,841.44,30
15.0,3.0,700.0,100.0,1.0,0.3,9,21,0.744,0.9986,220.9,183.06,30
15.0,3.0,700.0,200.0,1.0,0.3,9,21,0.744,0.9986,220.9,183.06,30
10.0,7.0,700.0,100.0,2.0,0.3,9,21,0.7562,1.1942,331.18,841.44,30
10.0,7.0,700.0,200.0,2.0,0.3,9,21,0.7562,1.1942,331.18,841.44,30
8.0,3.0,200.0,100.0,3.0,0.3,9,21,0.8375,0.8642,336.69,767.59,30
8.0,3.0,200.0,200.0,3.0,0.3,9,21,0.8375,0.8642,336.69,767.59,30
8.0,5.0,200.0,100.0,3.0,0.3,9,21,0.9111,0.7777,350.69,829.59,30
8.0,5.0,200.0,200.0,3.0,0.3,9,21,0.9111,0.7777,350.69,829.59,30
15.0,3.0,700.0,100.0,2.0,0.3,9,21,0.9262,1.0855,338.71,247.44,30
15.0,3.0,700.0,200.0,2.0,0.3,9,21,0.9262,1.0855,338.71,247.44,30
10.0,3.0,200.0,100.0,3.0,0.3,9,21,0.9477,0.6943,425.97,716.26,30
10.0,3.0,200.0,200.0,3.0,0.3,9,21,0.9477,0.6943,425.97,716.26,30
12.0,7.0,700.0,100.0,2.0,0.3,9,21,0.9769,0.9942,378.61,793.34,30
12.0,7.0,700.0,200.0,2.0,0.3,9,21,0.9769,0.9942,378.61,793.34,30
8.0,7.0,200.0,100.0,3.0,0.3,9,21,0.9897,0.7217,532.02,825.59,30
8.0,7.0,200.0,200.0,3.0,0.3,9,21,0.9897,0.7217,532.02,825.59,30
10.0,5.0,200.0,100.0,3.0,0.3,9,21,1.021,0.6363,425.97,781.59,30
10.0,5.0,200.0,200.0,3.0,0.3,9,21,1.021,0.6363,425.97,781.59,30
10.0,7.0,200.0,100.0,3.0,0.3,9,21,1.0897,0.5937,538.64,825.59,30
10.0,7.0,200.0,200.0,3.0,0.3,9,21,1.0897,0.5937,538.64,825.59,30
12.0,3.0,200.0,100.0,3.0,0.3,9,21,1.1002,0.5448,395.14,767.59,30
12.0,3.0,200.0,200.0,3.0,0.3,9,21,1.1002,0.5448,395.14,767.59,30
12.0,5.0,200.0,100.0,3.0,0.3,9,21,1.1988,0.5268,395.14,829.59,30
12.0,5.0,200.0,200.0,3.0,0.3,9,21,1.1988,0.5268,395.14,829.59,30
15.0,3.0,700.0,100.0,3.0,0.3,9,21,1.2082,1.1308,371.33,413.14,30
15.0,3.0,700.0,200.0,3.0,0.3,9,21,1.2082,1.1308,371.33,413.14,30
12.0,7.0,200.0,100.0,3.0,0.3,9,21,1.2902,0.5035,415.14,966.25,30
12.0,7.0,200.0,200.0,3.0,0.3,9,21,1.2902,0.5035,415.14,966.25,30
15.0,7.0,400.0,100.0,3.0,0.3,9,21,1.3708,0.6754,402.88,587.1,30
15.0,7.0,400.0,200.0,3.0,0.3,9,21,1.3708,0.6754,402.88,587.1,30
15.0,3.0,200.0,100.0,3.0,0.3,9,21,1.4302,0.4688,402.91,660.66,30
15.0,3.0,200.0,200.0,3.0,0.3,9,21,1.4302,0.4688,402.91,660.66,30
12.0,3.0,700.0,100.0,1.0,0.2667,8,22,0.5284,1.1331,79.24,215.83,30
12.0,3.0,700.0,200.0,1.0,0.2667,8,22,0.5284,1.1331,79.24,215.83,30
15.0,5.0,200.0,100.0,3.0,0.2667,8,22,1.4862,0.4482,402.91,715.32,30
15.0,5.0,200.0,200.0,3.0,0.2667,8,22,1.4862,0.4482,402.91,715.32,30
15.0,7.0,200.0,100.0,3.0,0.2667,8,22,1.6242,0.4262,423.58,847.98,30
15.0,7.0,200.0,200.0,3.0,0.2667,8,22,1.6242,0.4262,423.58,847.98,30
8.0,5.0,700.0,100.0,1.0,0.2333,7,23,0.4151,1.5698,191.17,534.02,30
8.0,5.0,700.0,200.0,1.0,0.2333,7,23,0.4151,1.5698,191.17,534.02,30
10.0,5.0,700.0,100.0,1.0,0.2333,7,23,0.6312,1.2085,199.91,533.28,30
10.0,5.0,700.0,200.0,1.0,0.2333,7,23,0.6312,1.2085,199.91,533.28,30
8.0,3.0,400.0,100.0,2.0,0.2333,7,23,0.6829,1.3295,410.32,788.57,30
8.0,3.0,400.0,200.0,2.0,0.2333,7,23,0.6829,1.3295,410.32,788.57,30
10.0,3.0,400.0,100.0,2.0,0.2333,7,23,0.8447,0.9627,464.66,788.57,30
10.0,3.0,400.0,200.0,2.0,0.2333,7,23,0.8447,0.9627,464.66,788.57,30
8.0,5.0,400.0,100.0,2.0,0.2333,7,23,0.8473,1.15,489.66,905.6,30
8.0,5.0,400.0,200.0,2.0,0.2333,7,23,0.8473,1.15,489.66,905.6,30
15.0,5.0,700.0,100.0,1.0,0.2333,7,23,1.1121,0.8774,220.9,664.52,30
15.0,5.0,700.0,200.0,1.0,0.2333,7,23,1.1121,0.8774,220.9,664.52,30
12.0,3.0,400.0,100.0,2.0,0.2333,7,23,1.1221,0.7487,508.16,773.13,30
12.0,3.0,400.0,200.0,2.0,0.2333,7,23,1.1221,0.7487,508.16,773.13,30
15.0,7.0,700.0,100.0,2.0,0.2333,7,23,1.3652,0.8592,340.2,793.34,30
15.0,7.0,700.0,200.0,2.0,0.2333,7,23,1.3652,0.8592,340.2,793.34,30
