open_margin_db,close_margin_db,peak_open_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
12.0,3.0,16.0,700.0,100.0,0.5,15,15,0.2121,1.8735,70.92,170.5,30
12.0,3.0,16.0,700.0,200.0,0.5,15,15,0.2121,1.8735,70.92,170.5,30
15.0,3.0,16.0,700.0,100.0,0.5,15,15,0.2121,1.8735,70.92,170.5,30
15.0,3.0,16.0,700.0,200.0,0.5,15,15,0.2121,1.8735,70.92,170.5,30
12.0,5.0,16.0,700.0,100.0,0.5,15,15,0.2358,1.8358,70.92,193.5,30
12.0,5.0,16.0,700.0,200.0,0.5,15,15,0.2358,1.8358,70.92,193.5,30
15.0,5.0,16.0,700.0,100.0,0.5,15,15,0.2358,1.8358,70.92,193.5,30
15.0,5.0,16.0,700.0,200.0,0.5,15,15,0.2358,1.8358,70.92,193.5,30
8.0,7.0,20.0,400.0,100.0,0.5,15,15,0.4672,1.1818,245.92,385.03,30
8.0,7.0,20.0,400.0,200.0,0.5,15,15,0.4672,1.1818,245.92,385.03,30
8.0,5.0,12.0,400.0,100.0,0.4667,14,16,0.1488,2.2941,182.13,310.32,30
8.0,5.0,12.0,400.0,200.0,0.4667,14,16,0.1488,2.2941,182.13,310.32,30
10.0,5.0,12.0,400.0,100.0,0.4667,14,16,0.1488,2.2941,182.13,310.32,30
10.0,5.0,12.0,400.0,200.0,0.4667,14,16,0.1488,2.2941,182.13,310.32,30
12.0,5.0,12.0,400.0,100.0,0.4667,14,16,0.1488,2.2941,182.13,310.32,30
12.0,5.0,12.0,400.0,200.0,0.4667,14,16,0.1488,2.2941,182.13,310.32,30
15.0,5.0,12.0,400.0,100.0,0.4667,14,16,0.1488,2.2941,182.13,310.32,30
15.0,5.0,12.0,400.0,200.0,0.4667,14,16,0.1488,2.2941,182.13,310.32,30
8.0,7.0,12.0,400.0,100.0,0.4667,14,16,0.1802,2.1829,182.13,468.46,30
8.0,7.0,12.0,400.0,200.0,0.4667,14,16,0.1802,2.1829,182.13,468.46,30
10.0,7.0,12.0,400.0,100.0,0.4667,14,16,0.1802,2.1696,182.13,468.46,30
10.0,7.0,12.0,400.0,200.0,0.4667,14,16,0.1802,2.1696,182.13,468.46,30
12.0,7.0,12.0,400.0,100.0,0.4667,14,16,0.1802,2.1696,182.13,468.46,30
12.0,7.0,12.0,400.0,200.0,0.4667,14,16,0.1802,2.1696,182.13,468.46,30
15.0,7.0,12.0,400.0,100.0,0.4667,14,16,0.1802,2.1696,182.13,468.46,30
15.0,7.0,12.0,400.0,200.0,0.4667,14,16,0.1802,2.1696,182.13,468.46,30
12.0,3.0,16.0,400.0,100.0,0.4667,14,16,0.2892,1.5225,248.7,359.32,30
12.0,3.0,16.0,400.0,200.0,0.4667,14,16,0.2892,1.5225,248.7,359.32,30
15.0,3.0,16.0,400.0,100.0,0.4667,14,16,0.2892,1.5225,248.7,359.32,30
15.0,3.0,16.0,400.0,200.0,0.4667,14,16,0.2892,1.5225,248.7,359.32,30
12.0,7.0,16.0,700.0,100.0,0.4667,14,16,0.306,1.7627,70.92,279.99,30
12.0,7.0,16.0,700.0,200.0,0.4667,14,16,0.306,1.7627,70.92,279.99,30
15.0,7.0,16.0,700.0,100.0,0.4667,14,16,0.306,1.7627,70.92,279.99,30
15.0,7.0,16.0,700.0,200.0,0.4667,14,16,0.306,1.7627,70.92,279.99,30
12.0,5.0,16.0,400.0,100.0,0.4667,14,16,0.3263,1.4043,248.7,405.99,30
12.0,5.0,16.0,400.0,200.0,0.4667,14,16,0.3263,1.4043,248.7,405.99,30
15.0,5.0,16.0,400.0,100.0,0.4667,14,16,0.3263,1.4043,248.7,405.99,30
15.0,5.0,16.0,400.0,200.0,0.4667,14,16,0.3263,1.4043,248.7,405.99,30
8.0,7.0,16.0,400.0,100.0,0.4667,14,16,0.3442,1.4749,245.41,474.46,30
8.0,7.0,16.0,400.0,200.0,0.4667,14,16,0.3442,1.4749,245.41,474.46,30
10.0,7.0,16.0,400.0,100.0,0.4667,14,16,0.3442,1.4429,245.41,474.46,30
10.0,7.0,16.0,400.0,200.0,0.4667,14,16,0.3442,1.4429,245.41,474.46,30
12.0,7.0,16.0,400.0,100.0,0.4667,14,16,0.3448,1.3608,246.03,474.46,30
