open_margin_db,close_margin_db,release_ms,hold_ms,window_sec,percentile,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,2.0,500.0,100.0,2.0,15.0,0.4667,7,8,0.2743,1.6286,13.27,260.99,15
6.0,2.0,500.0,250.0,2.0,15.0,0.4667,7,8,0.2743,1.6286,13.27,260.99,15
8.0,2.0,500.0,100.0,2.0,15.0,0.4667,7,8,0.2749,1.5306,13.93,260.99,15
8.0,2.0,500.0,250.0,2.0,15.0,0.4667,7,8,0.2749,1.5306,13.93,260.99,15
6.0,2.0,800.0,100.0,2.0,25.0,0.4667,7,8,0.2805,1.5975,15.27,265.19,15
6.0,2.0,800.0,250.0,2.0,25.0,0.4667,7,8,0.2805,1.5975,15.27,265.19,15
6.0,4.0,800.0,100.0,4.0,15.0,0.4667,7,8,0.2845,1.6775,15.27,269.19,15
6.0,4.0,800.0,250.0,4.0,15.0,0.4667,7,8,0.2845,1.6775,15.27,269.19,15
6.0,4.0,500.0,100.0,2.0,15.0,0.4667,7,8,0.3045,1.5188,13.93,452.52,15
6.0,4.0,500.0,250.0,2.0,15.0,0.4667,7,8,0.3045,1.5188,13.93,452.52,15
8.0,4.0,500.0,100.0,2.0,15.0,0.4667,7,8,0.3045,1.4375,13.93,452.52,15
8.0,4.0,500.0,250.0,2.0,15.0,0.4667,7,8,0.3045,1.4375,13.93,452.52,15
6.0,2.0,500.0,100.0,2.0,25.0,0.4667,7,8,0.3082,1.3772,15.27,454.88,15
6.0,2.0,500.0,250.0,2.0,25.0,0.4667,7,8,0.3082,1.3772,15.27,454.88,15
6.0,6.0,800.0,100.0,2.0,15.0,0.4667,7,8,0.3438,1.6635,13.93,329.85,15
6.0,6.0,800.0,250.0,2.0,15.0,0.4667,7,8,0.3438,1.6635,13.93,329.85,15
8.0,6.0,800.0,100.0,2.0,15.0,0.4667,7,8,0.3438,1.5781,13.93,329.85,15
8.0,6.0,800.0,250.0,2.0,15.0,0.4667,7,8,0.3438,1.5781,13.93,329.85,15
6.0,4.0,800.0,100.0,1.0,25.0,0.4667,7,8,0.3441,1.8865,12.27,331.86,15
6.0,4.0,800.0,250.0,1.0,25.0,0.4667,7,8,0.3441,1.8865,12.27,331.86,15
8.0,4.0,800.0,100.0,1.0,25.0,0.4667,7,8,0.3461,1.7058,14.27,331.86,15
8.0,4.0,800.0,250.0,1.0,25.0,0.4667,7,8,0.3461,1.7058,14.27,331.86,15
6.0,4.0,500.0,100.0,4.0,15.0,0.4667,7,8,0.3538,1.5188,15.27,500.52,15
6.0,4.0,500.0,250.0,4.0,15.0,0.4667,7,8,0.3538,1.5188,15.27,500.52,15
8.0,2.0,800.0,100.0,1.0,35.0,0.4667,7,8,0.3551,1.5628,17.93,337.19,15
8.0,2.0,800.0,250.0,1.0,35.0,0.4667,7,8,0.3551,1.5628,17.93,337.19,15
6.0,4.0,800.0,100.0,2.0,25.0,0.4667,7,8,0.3625,1.4701,15.27,347.19,15
6.0,4.0,800.0,250.0,2.0,25.0,0.4667,7,8,0.3625,1.4701,15.27,347.19,15
6.0,6.0,800.0,100.0,4.0,15.0,0.4667,7,8,0.3638,1.6061,15.27,348.52,15
6.0,6.0,800.0,250.0,4.0,15.0,0.4667,7,8,0.3638,1.6061,15.27,348.52,15
6.0,2.0,500.0,100.0,1.0,25.0,0.4667,7,8,0.3641,1.6985,56.07,511.19,15
6.0,2.0,500.0,250.0,1.0,25.0,0.4667,7,8,0.3641,1.6985,56.07,511.19,15
8.0,2.0,500.0,100.0,1.0,25.0,0.4667,7,8,0.3661,1.4858,58.07,511.19,15
8.0,2.0,500.0,250.0,1.0,25.0,0.4667,7,8,0.3661,1.4858,58.07,511.19,15
6.0,2.0,800.0,100.0,2.0,35.0,0.4667,7,8,0.3668,1.3625,15.27,351.55,15
6.0,2.0,800.0,250.0,2.0,35.0,0.4667,7,8,0.3668,1.3625,15.27,351.55,15
6.0,6.0,800.0,100.0,1.0,15.0,0.4667,7,8,0.3683,1.9413,10.49,357.85,15
6.0,6.0,800.0,250.0,1.0,15.0,0.4667,7,8,0.3683,1.9413,10.49,357.85,15
8.0,6.0,800.0,100.0,1.0,15.0,0.4667,7,8,0.3683,1.76,10.49,357.85,15
8.0,6.0,800.0,250.0,1.0,15.0,0.4667,7,8,0.3683,1.76,10.49,357.85,15
6.0,4.0,800.0,100.0,2.0,35.0,0.4667,7,8,0.3901,1.2298,15.27,374.88,15
6.0,4.0,800.0,250.0,2.0,35.0,0.4667,7,8,0.3901,1.2298,15.27,374.88,15
10.0,4.0,800.0,100.0,2.0,35.0,0.4667,7,8,0.4155,1.0605,40.6,374.88,15
10.0,4.0,800.0,250.0,2.0,35.0,0.4667,7,8,0.4155,1.0605,40.6,374.88,15
10.0,2.0,500.0,100.0,2.0,35.0,0.4667,7,8,0.4655,0.9292,40.6,1315.66,15
10.0,2.0,500.0,250.0,2.0,35.0,0.4667,7,8,0.4655,0.9292,40.6,1315.66,15
6.0,6.0,500.0,100.0,4.0,35.0,0.4667,7,8,0.6052,1.0102,67.16,1651.97,15
6.0,6.0,500.0,250.0,4.0,35.0,0.4667,7,8,0.6052,1.0102,67.16,1651.97,15
8.0,6.0,500.0,100.0,4.0,35.0,0.4667,7,8,0.6265,0.9222,79.16,1651.97,15
