stddev_open,close_perc,history_secs,abs_slope_max,win_secs,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
50.0,0.3,2.0,0.0005,0.2,0.1333,4,26,2.0321,1.6494,68.59,62.18,30
50.0,0.3,2.0,0.0005,0.5,0.1333,4,26,2.0321,1.6494,68.59,62.18,30
50.0,0.3,2.0,0.0005,1.0,0.1333,4,26,2.0321,1.6494,68.59,62.18,30
50.0,0.5,2.0,0.0005,0.2,0.1333,4,26,2.0321,1.6494,68.59,62.18,30
50.0,0.5,2.0,0.0005,0.5,0.1333,4,26,2.0321,1.6494,68.59,62.18,30
50.0,0.5,2.0,0.0005,1.0,0.1333,4,26,2.0321,1.6494,68.59,62.18,30
50.0,0.7,2.0,0.0005,0.2,0.1333,4,26,2.0321,1.5914,68.59,62.18,30
50.0,0.7,2.0,0.0005,0.5,0.1333,4,26,2.0321,1.5914,68.59,62.18,30
50.0,0.7,2.0,0.0005,1.0,0.1333,4,26,2.0321,1.5914,68.59,62.18,30
50.0,0.3,1.0,0.0005,0.2,0.1333,4,26,2.0521,1.6154,88.59,62.18,30
50.0,0.3,1.0,0.0005,0.5,0.1333,4,26,2.0521,1.6154,88.59,62.18,30
50.0,0.3,1.0,0.0005,1.0,0.1333,4,26,2.0521,1.6154,88.59,62.18,30
50.0,0.5,1.0,0.0005,0.2,0.1333,4,26,2.0521,1.6154,88.59,62.18,30
50.0,0.5,1.0,0.0005,0.5,0.1333,4,26,2.0521,1.6154,88.59,62.18,30
50.0,0.5,1.0,0.0005,1.0,0.1333,4,26,2.0521,1.6154,88.59,62.18,30
50.0,0.7,1.0,0.0005,0.2,0.1333,4,26,2.0521,1.5574,88.59,62.18,30
50.0,0.7,1.0,0.0005,0.5,0.1333,4,26,2.0521,1.5574,88.59,62.18,30
50.0,0.7,1.0,0.0005,1.0,0.1333,4,26,2.0521,1.5574,88.59,62.18,30
50.0,0.3,0.5,0.0005,0.2,0.1333,4,26,2.1628,1.3788,102.63,62.18,30
50.0,0.3,0.5,0.0005,0.5,0.1333,4,26,2.1628,1.3788,102.63,62.18,30
50.0,0.3,0.5,0.0005,1.0,0.1333,4,26,2.1628,1.3788,102.63,62.18,30
50.0,0.5,0.5,0.0005,0.2,0.1333,4,26,2.1628,1.3788,102.63,62.18,30
50.0,0.5,0.5,0.0005,0.5,0.1333,4,26,2.1628,1.3788,102.63,62.18,30
50.0,0.5,0.5,0.0005,1.0,0.1333,4,26,2.1628,1.3788,102.63,62.18,30
50.0,0.7,0.5,0.0005,0.2,0.1333,4,26,2.1628,1.3788,102.63,62.18,30
50.0,0.7,0.5,0.0005,0.5,0.1333,4,26,2.1628,1.3788,102.63,62.18,30
50.0,0.7,0.5,0.0005,1.0,0.1333,4,26,2.1628,1.3788,102.63,62.18,30
50.0,0.3,0.5,0.0001,0.2,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.3,0.5,0.0001,0.5,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.3,0.5,0.0001,1.0,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.3,1.0,0.0001,0.2,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.3,1.0,0.0001,0.5,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.3,1.0,0.0001,1.0,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.3,2.0,0.0001,0.2,0.1,3,27,2.2908,1.6675,56.14,0.0,30
50.0,0.3,2.0,0.0001,0.5,0.1,3,27,2.2908,1.6675,56.14,0.0,30
50.0,0.3,2.0,0.0001,1.0,0.1,3,27,2.2908,1.6675,56.14,0.0,30
50.0,0.5,0.5,0.0001,0.2,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.5,0.5,0.0001,0.5,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.5,0.5,0.0001,1.0,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.5,1.0,0.0001,0.2,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.5,1.0,0.0001,0.5,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.5,1.0,0.0001,1.0,0.1,3,27,2.2908,1.6561,56.14,0.0,30
50.0,0.5,2.0,0.0001,0.2,0.1,3,27,2.2908,1.6675,56.14,0.0,30
50.0,0.5,2.0,0.0001,0.5,0.1,3,27,2.2908,1.6675,56.14,0.0,30
50.0,0.5,2.0,0.0001,1.0,0.1,3,27,2.2908,1.6675,56.14,0.0,30
50.0,0.7,0.5,0.0001,0.2,0.1,3,27,2.2908,1.5981,56.14,0.0,30
50.0,0.7,0.5,0.0001,0.5,0.1,3,27,2.2908,1.5981,56.14,0.0,30
50.0,0.7,0.5,0.0001,1.0,0.1,3,27,2.2908,1.5981,56.14,0.0,30
50.0,0.7,1.0,0.0001,0.2,0.1,3,27,2.2908,1.5981,56.14,0.0,30
50.0,0.7,1.0,0.0001,0.5,0.1,3,27,2.2908,1.5981,56.14,0.0,30
50.0,0.7,1.0,0.0001,1.0,0.1,3,27,2.2908,1.5981,56.14,0.0,30
50.0,0.7,2.0,0.0001,0.2,0.1,3,27,2.2908,1.6095,56.14,0.0,30
50.0,0.7,2.0,0.0001,0.5,0.1,3,27,2.2908,1.6095,56.14,0.0,30
50.0,0.7,2.0,0.0001,1.0,0.1,3,27,2.2908,1.6095,56.14,0.0,30
100.0,0.3,2.0,0.0005,0.2,0.0667,2,28,2.4144,1.3624,40.91,62.18,30
100.0,0.3,2.0,0.0005,0.5,0.0667,2,28,2.4144,1.3624,40.91,62.18,30
100.0,0.3,2.0,0.0005,1.0,0.0667,2,28,2.4144,1.3624,40.91,62.18,30
100.0,0.5,2.0,0.0005,0.2,0.0667,2,28,2.4144,1.3624,40.91,62.18,30
100.0,0.5,2.0,0.0005,0.5,0.0667,2,28,2.4144,1.3624,40.91,62.18,30
100.0,0.5,2.0,0.0005,1.0,0.0667,2,28,2.4144,1.3624,40.91,62.18,30
100.0,0.7,2.0,0.0005,0.2,0.0667,2,28,2.4144,1.3624,40.91,62.18,30
100.0,0.7,2.0,0.0005,0.5,0.0667,2,28,2.4144,1.3624,40.91,62.18,30
100.0,0.7,2.0,0.0005,1.0,0.0667,2,28,2.4144,1.3624,40.91,62.18,30
100.0,0.3,1.0,0.0005,0.2,0.0667,2,28,2.465,1.2297,11.52,62.18,30
100.0,0.3,1.0,0.0005,0.5,0.0667,2,28,2.465,1.2297,11.52,62.18,30
100.0,0.3,1.0,0.0005,1.0,0.0667,2,28,2.465,1.2297,11.52,62.18,30
100.0,0.5,1.0,0.0005,0.2,0.0667,2,28,2.465,1.2297,11.52,62.18,30
100.0,0.5,1.0,0.0005,0.5,0.0667,2,28,2.465,1.2297,11.52,62.18,30
100.0,0.5,1.0,0.0005,1.0,0.0667,2,28,2.465,1.2297,11.52,62.18,30
100.0,0.7,1.0,0.0005,0.2,0.0667,2,28,2.465,1.2297,11.52,62.18,30
100.0,0.7,1.0,0.0005,0.5,0.0667,2,28,2.465,1.2297,11.52,62.18,30
100.0,0.7,1.0,0.0005,1.0,0.0667,2,28,2.465,1.2297,11.52,62.18,30
150.0,0.3,1.0,0.0005,0.2,0.0667,2,28,2.472,1.2074,18.53,62.18,30
150.0,0.3,1.0,0.0005,0.5,0.0667,2,28,2.472,1.2074,18.53,62.18,30
150.0,0.3,1.0,0.0005,1.0,0.0667,2,28,2.472,1.2074,18.53,62.18,30
150.0,0.3,2.0,0.0005,0.2,0.0667,2,28,2.472,1.2414,18.53,62.18,30
150.0,0.3,2.0,0.0005,0.5,0.0667,2,28,2.472,1.2414,18.53,62.18,30
150.0,0.3,2.0,0.0005,1.0,0.0667,2,28,2.472,1.2414,18.53,62.18,30
150.0,0.5,1.0,0.0005,0.2,0.0667,2,28,2.472,1.2074,18.53,62.18,30
150.0,0.5,1.0,0.0005,0.5,0.0667,2,28,2.472,1.2074,18.53,62.18,30
150.0,0.5,1.0,0.0005,1.0,0.0667,2,28,2.472,1.2074,18.53,62.18,30
150.0,0.5,2.0,0.0005,0.2,0.0667,2,28,2.472,1.2414,18.53,62.18,30
150.0,0.5,2.0,0.0005,0.5,0.0667,2,28,2.472,1.2414,18.53,62.18,30
150.0,0.5,2.0,0.0005,1.0,0.0667,2,28,2.472,1.2414,18.53,62.18,30
150.0,0.7,1.0,0.0005,0.2,0.0667,2,28,2.472,1.2074,18.53,62.18,30
