open_margin_db,sustain_margin_db,close_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
12.0,4.0,1.0,400.0,150.0,0.5,15,15,0.8471,1.0264,313.15,87.06,30
12.0,4.0,1.0,400.0,250.0,0.5,15,15,0.8471,1.0264,313.15,87.06,30
12.0,4.0,2.0,400.0,150.0,0.5,15,15,0.8478,1.0164,313.15,87.06,30
12.0,4.0,2.0,400.0,250.0,0.5,15,15,0.8478,1.0164,313.15,87.06,30
12.0,6.0,1.0,400.0,150.0,0.5,15,15,0.8771,0.9784,158.7,256.4,30
12.0,6.0,1.0,400.0,250.0,0.5,15,15,0.8771,0.9784,158.7,256.4,30
12.0,8.0,1.0,400.0,150.0,0.5,15,15,0.8783,0.9689,158.7,257.55,30
12.0,8.0,1.0,400.0,250.0,0.5,15,15,0.8783,0.9689,158.7,257.55,30
12.0,6.0,2.0,400.0,150.0,0.5,15,15,0.8798,0.9658,158.7,257.06,30
12.0,6.0,2.0,400.0,250.0,0.5,15,15,0.8798,0.9658,158.7,257.06,30
12.0,4.0,4.0,400.0,150.0,0.5,15,15,0.9104,0.9511,313.15,87.06,30
12.0,4.0,4.0,400.0,250.0,0.5,15,15,0.9104,0.9511,313.15,87.06,30
12.0,8.0,2.0,400.0,150.0,0.5,15,15,0.9343,0.9536,313.15,130.89,30
12.0,8.0,2.0,400.0,250.0,0.5,15,15,0.9343,0.9536,313.15,130.89,30
12.0,6.0,4.0,400.0,150.0,0.5,15,15,0.9438,0.9358,313.15,131.73,30
12.0,6.0,4.0,400.0,250.0,0.5,15,15,0.9438,0.9358,313.15,131.73,30
12.0,8.0,4.0,400.0,150.0,0.5,15,15,0.9523,0.9203,313.15,140.22,30
12.0,8.0,4.0,400.0,250.0,0.5,15,15,0.9523,0.9203,313.15,140.22,30
10.0,6.0,4.0,600.0,150.0,0.4667,14,16,0.5842,1.3855,195.54,273.99,30
10.0,6.0,4.0,600.0,250.0,0.4667,14,16,0.5842,1.3855,195.54,273.99,30
10.0,4.0,4.0,400.0,150.0,0.4667,14,16,0.5974,1.1467,349.99,189.15,30
10.0,4.0,4.0,400.0,250.0,0.4667,14,16,0.5974,1.1467,349.99,189.15,30
12.0,4.0,1.0,600.0,150.0,0.4667,14,16,0.8323,1.175,157.91,122.4,30
12.0,4.0,1.0,600.0,250.0,0.4667,14,16,0.8323,1.175,157.91,122.4,30
12.0,6.0,1.0,600.0,150.0,0.4667,14,16,0.8323,1.175,157.91,122.4,30
12.0,6.0,1.0,600.0,250.0,0.4667,14,16,0.8323,1.175,157.91,122.4,30
12.0,8.0,1.0,600.0,150.0,0.4667,14,16,0.8331,1.1518,158.72,122.4,30
12.0,8.0,1.0,600.0,250.0,0.4667,14,16,0.8331,1.1518,158.72,122.4,30
12.0,4.0,2.0,600.0,150.0,0.4667,14,16,0.8343,1.165,157.91,124.4,30
12.0,4.0,2.0,600.0,250.0,0.4667,14,16,0.8343,1.165,157.91,124.4,30
12.0,6.0,2.0,600.0,150.0,0.4667,14,16,0.8343,1.165,157.91,124.4,30
12.0,6.0,2.0,600.0,250.0,0.4667,14,16,0.8343,1.165,157.91,124.4,30
12.0,8.0,2.0,600.0,150.0,0.4667,14,16,0.8351,1.1411,158.72,124.4,30
12.0,8.0,2.0,600.0,250.0,0.4667,14,16,0.8351,1.1411,158.72,124.4,30
12.0,4.0,4.0,600.0,150.0,0.4667,14,16,0.8643,1.153,157.91,190.4,30
12.0,4.0,4.0,600.0,250.0,0.4667,14,16,0.8643,1.153,157.91,190.4,30
12.0,6.0,4.0,600.0,150.0,0.4667,14,16,0.8923,1.151,157.91,253.06,30
12.0,6.0,4.0,600.0,250.0,0.4667,14,16,0.8923,1.151,157.91,253.06,30
12.0,8.0,4.0,600.0,150.0,0.4667,14,16,0.8949,1.1196,158.72,254.89,30
12.0,8.0,4.0,600.0,250.0,0.4667,14,16,0.8949,1.1196,158.72,254.89,30
15.0,4.0,1.0,400.0,150.0,0.4667,14,16,1.0687,0.7634,195.0,87.06,30
15.0,4.0,1.0,400.0,250.0,0.4667,14,16,1.0687,0.7634,195.0,87.06,30
15.0,6.0,1.0,400.0,150.0,0.4667,14,16,1.0687,0.7634,195.0,87.06,30
15.0,6.0,1.0,400.0,250.0,0.4667,14,16,1.0687,0.7634,195.0,87.06,30
15.0,4.0,2.0,400.0,150.0,0.4667,14,16,1.0929,0.7515,195.0,111.21,30
15.0,4.0,2.0,400.0,250.0,0.4667,14,16,1.0929,0.7515,195.0,111.21,30
15.0,6.0,2.0,400.0,150.0,0.4667,14,16,1.0929,0.7515,195.0,111.21,30
15.0,6.0,2.0,400.0,250.0,0.4667,14,16,1.0929,0.7515,195.0,111.21,30
15.0,4.0,4.0,400.0,150.0,0.4667,14,16,1.0942,0.7282,195.0,112.54,30
15.0,4.0,4.0,400.0,250.0,0.4667,14,16,1.0942,0.7282,195.0,112.54,30
15.0,6.0,4.0,400.0,150.0,0.4667,14,16,1.0942,0.7262,195.0,112.54,30
15.0,6.0,4.0,400.0,250.0,0.4667,14,16,1.0942,0.7262,195.0,112.54,30
15.0,8.0,1.0,400.0,150.0,0.4667,14,16,1.1209,0.7556,195.0,139.25,30
15.0,8.0,1.0,400.0,250.0,0.4667,14,16,1.1209,0.7556,195.0,139.25,30
